Date,Region,EmploymentType,Total,Total_male,Total_female,Total_foreigner,Foreigner_male,Foreigner_female
30.06.2018,Germany,Full-time,23613964,15714075,7899889,2763349,2018189,745160
30.06.2018,Germany,Part-time,9256262,1982460,7273802,1084881,423302,661579
30.06.2018,Germany,Total,32870228,17696536,15173692,3848231,2441491,1406740
30.06.2017,Germany,Full-time,23222806,15395673,7827133,2471485,1792356,679129
30.06.2017,Germany,Part-time,8942139,1877599,7064540,998660,387046,611614
30.06.2017,Germany,Total,32164973,17273293,14891680,3470146,2179403,1290743
30.06.2016,Germany,Full-time,22873969,15115245,7758724,2230133,1608529,621604
30.06.2016,Germany,Part-time,8568637,1748571,6820066,903705,342290,561415
30.06.2016,Germany,Total,31443318,16864227,14579091,3133874,1950840,1183034
30.06.2015,Germany,Full-time,22577749,14880459,7697290,2021898,1452465,569433
30.06.2015,Germany,Part-time,8186415,1619635,6566780,807318,300046,507272
30.06.2015,Germany,Total,30771297,16504172,14267125,2829470,1752658,1076812
30.06.2014,Germany,Full-time,22090825,14558411,7532414,1841317,1320124,521193
30.06.2014,Germany,Part-time,7739729,1478486,6261243,708273,256617,451656
30.06.2014,Germany,Total,30174505,16240821,13933684,2563286,1585000,978286
30.06.2013,Germany,Full-time,21841101,14374589,7466512,1697024,1212708,484316
30.06.2013,Germany,Part-time,7423906,1384736,6039170,627695,219349,408346
30.06.2013,Germany,Total,29615680,15965766,13649914,2340697,1441517,899180
30.06.2012,Germany,Full-time,.,.,.,.,.,.
30.06.2012,Germany,Part-time,.,.,.,.,.,.
30.06.2012,Germany,Total,29280034,15838217,13441817,2193332,1353216,840116
30.06.2011,Germany,Full-time,.,.,.,.,.,.
30.06.2011,Germany,Part-time,.,.,.,.,.,.
30.06.2011,Germany,Total,28643583,15531430,13112153,2019039,1248835,770204
30.06.2010,Germany,Full-time,21773598,13857729,7915869,1471034,1031192,439842
30.06.2010,Germany,Part-time,5840557,1082492,4758065,393324,122028,271296
30.06.2010,Germany,Total,27966601,15149301,12817300,1878869,1162081,716788
30.06.2009,Germany,Full-time,21721485,13797980,7923505,1449000,1016604,432396
30.06.2009,Germany,Part-time,5537602,985705,4551897,367199,111930,255269
30.06.2009,Germany,Total,27603281,14987984,12615297,1829757,1136842,692915
30.06.2008,Germany,Full-time,22030201,14087047,7943154,1491942,1058958,432984
30.06.2008,Germany,Part-time,5330918,940241,4390677,349240,106248,242992
30.06.2008,Germany,Total,27695398,15225839,12469559,1853767,1172855,680912
